City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
644,Boras,SE,57.721,12.9401,37.49,92,100,6.42,Clouds
645,Leh,IN,34.1667,77.5833,35.62,33,1,3.22,Clear
646,Jha Jha,IN,24.7667,86.3667,70.09,63,0,3.36,Clear
647,Vila Do Maio,CV,15.1333,-23.2167,79.59,76,59,15.52,Clouds
648,Santiago,CL,-33.4569,-70.6483,57.85,65,100,10.36,Clouds
649,Solwezi,ZM,-12.1688,26.3894,65.37,79,48,5.21,Clouds
650,Bensonville,LR,6.4461,-10.6125,76.55,93,89,3.4,Rain
651,Liverpool,GB,53.4106,-2.9779,52.09,93,40,8.05,Clouds
652,Shache,CN,38.4167,77.2406,56.5,26,31,4.92,Clouds
653,Potiskum,NG,11.7091,11.0694,79.88,20,81,8.48,Clouds
654,Nouakchott,MR,18.0858,-15.9785,76.93,71,2,14.94,Clear
655,Taoudenni,ML,22.6783,-3.9836,92.57,10,0,7.49,Clear
656,Zabolotovka,RU,50.2737,39.3147,51.85,77,100,30.33,Clouds
657,Carbonia,IT,39.1672,8.5222,61.45,83,3,2.19,Clear
658,Krasnyy Oktyabr,RU,56.1167,38.8833,31.33,83,100,8.55,Snow
659,Chaman,PK,30.9236,66.4512,62.38,41,1,2.59,Clear
660,Wladyslawowo,PL,54.7909,18.4009,48.92,72,100,7.92,Clouds
661,Atlantic City,US,39.3643,-74.4229,79.12,58,0,8.39,Clear
662,Depalpur,IN,22.85,75.55,64.8,41,83,4.09,Clouds
663,Abha,SA,18.2164,42.5053,53.85,94,100,0.0,Clouds
664,Khakhea,BW,-24.6895,23.494,73.31,15,0,13.2,Clear
665,Baie-Comeau,CA,49.2168,-68.1489,46.08,61,20,19.57,Clouds
666,Ekangala,ZA,-25.6962,28.7492,70.3,40,100,6.55,Clouds
667,Ganganagar,IN,29.9167,73.8833,75.97,29,97,5.79,Clouds
668,Csaszartoltes,HU,46.4219,19.1836,55.9,82,76,7.38,Clouds
669,Reims,FR,49.1667,4.0833,57.04,94,100,16.11,Clouds
670,Caucaia,BR,-3.7361,-38.6531,83.89,75,40,17.27,Clouds
671,Kongolo,CD,-5.3833,27.0,71.1,91,33,1.54,Clouds
672,Kaufbeuren,DE,47.8833,10.6167,48.99,75,71,2.3,Clouds
673,Inongo,CD,-1.95,18.2667,76.28,80,61,1.81,Clouds
674,Gubkinskiy,RU,64.434,76.5026,15.21,95,84,10.4,Clouds
675,Newport,GB,51.5877,-2.9984,54.14,89,100,7.45,Clouds
676,Tallahassee,US,30.4383,-84.2807,84.4,61,40,8.05,Clouds
677,Batouri,CM,4.4333,14.3667,69.19,94,64,1.7,Clouds
