City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
637,Severodvinsk,RU,24.13,Snow,64.5635,39.8302,Park Hotel
638,Radom,PL,50.32,Clouds,51.4025,21.1471,Hotel Iskra - Radom
639,Warrington,GB,52.32,Rain,53.3925,-2.5802,Villaggio Hotel
640,Najran,SA,68.65,Clouds,17.4924,44.1277,محمد هادي ال فطيح
641,Marienburg,PL,49.03,Clouds,54.0359,19.0266,Hotel Centrum Malbork
642,Thornton,US,30.78,Snow,39.868,-104.9719,Gina' Texmex & Specialty catering
643,Svetlyy,RU,39.36,Clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
644,Boras,SE,37.49,Clouds,57.721,12.9401,Scandic Plaza Borås
645,Leh,IN,35.62,Clear,34.1667,77.5833,Hotel Ladakh Greens
646,Jha Jha,IN,70.09,Clear,24.7667,86.3667,Chandan Kumar
647,Vila Do Maio,CV,79.59,Clouds,15.1333,-23.2167,Hotel Marilu
648,Santiago,CL,57.85,Clouds,-33.4569,-70.6483,Hotel Panamericano
649,Solwezi,ZM,65.37,Clouds,-12.1688,26.3894,Country Lodge Solwezi
650,Bensonville,LR,76.55,Rain,6.4461,-10.6125,Moinga
651,Liverpool,GB,52.09,Clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
652,Shache,CN,56.5,Clouds,38.4167,77.2406,Delong Hotel
653,Potiskum,NG,79.88,Clouds,11.7091,11.0694,Tamir Hotel Ltd
654,Nouakchott,MR,76.93,Clear,18.0858,-15.9785,HOTEL IMAN
655,Taoudenni,ML,92.57,Clear,22.6783,-3.9836,Sinanemebwekuh
656,Zabolotovka,RU,51.85,Clouds,50.2737,39.3147,Culture House of Sugar
657,Carbonia,IT,61.45,Clear,39.1672,8.5222,Lu 'Hotel
658,Krasnyy Oktyabr,RU,31.33,Snow,56.1167,38.8833,Priozernaya Hotel
659,Chaman,PK,62.38,Clear,30.9236,66.4512,Niamat parda Center chaman
660,Wladyslawowo,PL,48.92,Clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
661,Atlantic City,US,79.12,Clear,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
662,Depalpur,IN,64.8,Clouds,22.85,75.55,222 Shiv palace शिव पैलेस
663,Abha,SA,53.85,Clouds,18.2164,42.5053,Abha Hotel
665,Baie-Comeau,CA,46.08,Clouds,49.2168,-68.1489,Travelodge by Wyndham Baie-Comeau
666,Ekangala,ZA,70.3,Clouds,-25.6962,28.7492,Blackburn
667,Ganganagar,IN,75.97,Clouds,29.9167,73.8833,AMOR HOTEL
668,Csaszartoltes,HU,55.9,Clouds,46.4219,19.1836,Pincelakat Borház és Szálloda
669,Reims,FR,57.04,Clouds,49.1667,4.0833,Domaine du Chalet
670,Caucaia,BR,83.89,Clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
671,Kongolo,CD,71.1,Clouds,-5.3833,27.0,GUEST HOUSE OASIS
672,Kaufbeuren,DE,48.99,Clouds,47.8833,10.6167,Hotel Goldener Hirsch
673,Inongo,CD,76.28,Clouds,-1.95,18.2667,Hotel Du Lac
674,Gubkinskiy,RU,15.21,Clouds,64.434,76.5026,MonarcH
675,Newport,GB,54.14,Clouds,51.5877,-2.9984,ibis budget Newport
676,Tallahassee,US,84.4,Clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
677,Batouri,CM,69.19,Clouds,4.4333,14.3667,Hotel Hollywood
679,Sarangarh,IN,67.03,Clear,21.6,83.0833,Svidha kendra
680,Arica,CL,76.55,Clear,-18.475,-70.3042,Americano
681,Bafra,TR,65.48,Clear,41.5678,35.9069,Sevgi Otel
682,Banamba,ML,83.48,Clouds,13.55,-7.45,Route de Boron
683,Belmonte,BR,78.17,Clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
684,Kjollefjord,NO,33.85,Clouds,70.9457,27.3465,Hotel Nordkyn
685,Jacareacanga,BR,101.52,Clouds,-6.2222,-57.7528,Casa do Ian
686,Akureyri,IS,31.93,Clear,65.6835,-18.0878,Akureyri - Berjaya Iceland Hotels
687,Zapresic,HR,58.8,Clouds,45.8564,15.8078,Country House Kamenitih Svatova
688,Gombe,NG,82.15,Clear,10.2897,11.1673,Custodian Hotel Gombe
689,Pisco,PE,73.45,Clear,-13.7,-76.2167,Hotel San Isidro Oficial
690,Bollnas,SE,28.8,Clouds,61.3482,16.3946,Grand Hotel
691,Comodoro Rivadavia,AR,60.66,Clouds,-45.8667,-67.5,Austral Hotel
692,Takoradi,GH,78.53,Clear,4.8845,-1.7554,Raybow International Hotel
693,Linden,GY,86.86,Clouds,6.0,-58.3,Crimson Bat Hotel
